Author/Writer,About the Author,AuthorID
Ajaypal Kaur,"Ajaypal Kaur did her PhD from Guru Nanak Dev University (GNDU), Amritsar. She started her journey of research in 2003 and has two books and ten articles to her credit. She was also a Post Doctorate Fellow of ICSSR, New Delhi. She has taught at School of Social Sciences, GNDU, Amritsar amongst other institutions of repute and have attended eleven international/national seminars. She is presently serving as Assistant Professor of Political Science at Khalsa College for Women, Ludhiana.",487
Urvashi Sabu,"Urvashi Sabu teaches English at PGDAV College, Delhi University. She acquired a doctorate on Pakistani Women Poets from Jamia Millia Islamia, New Delhi. She was the Charles Wallace India Trust Translation Fellow at the British Centre for Literary Translation, University of East Anglia, Norwich UK, in Autumn 2018. Passionate about women’s issues, theatre, and cinema, she has conducted workshops for students as well as published several research papers in reputed journals and edited volumes. Her translations of poems, short stories and non-fiction prose have appeared in various periodicals and anthologies.",488
G. Satyanarayana,"G. Satyanarayana, former Professor Emeritus, Department of Sociology, Osmania University, Hyderabad, served the university for over 35 years in various capacities like Professor, Head and Chairman, BoS, Department of Sociology and Principal, University College of Arts and Social Sciences. He also held several important administrative positions in the government such as Member,A.P. College Service Commission and Member, State Minimum Wages Advisory Board. His areas of research include factions and conflict studies, social movements, women studies, sociology of education, agrarian crisis and farmers’ suicides and development studies. He has visited Spain, West Germany, China, Thailand, Sweden, France, South Africa, Kenya, Canada and the USA to chair and present papers in various international conferences. His published works include Changing Agrarian Structure and Labour Relations, Development: Displacement and Rehabilitation, and Voluntary Effort and Rural Development.",489
Sita Vanka and Rekha Pande (eds),"Sita Vanka is currently a Senior Professor at the School of Management Studies, University of Hyderabad, Hyderabad, India. She is also a Joint Professor of Women’s Studies at the same university. She has over three decades of experience in the areas of Management, Educational Management, Human Resource Management, Entrepreneurship and Women’s Studies. She is a teacher, trainer, consultant and a researcher in Management. She is on the Board of Directors of two companies. She has published six books and more than sixty papers in reputed journals.Rekha Pande is Head of the Centre for Women's Studies and a Professor in the Department of History at the University of Hyderabad, Hyderabad. She was the Director and Chair of the 12th Women World Congress (2014) organized in Hyderabad. She is the founding member of two Centres for Women’s Studies, one at Maulana Azad National Urdu University and the other at University of Hyderabad.",490
"Micheline R. Malson, Jean F. O’Barr, Sarah Westphal-Wihl and Mary Wyer (Eds)","Micheline R. Malson is assistant professor in public policy at Duke University and an associate editor of Signs.Jean F. O’Barr is director, Duke University Women’s Studies Program, and the editor of Signs.Sarah Westphal-Wihl is assistant professor in the comparative literature program at McGill University and an associate editor of Signs.Mary Wyer is the managing editor of Signs.",491
Rekha Pande and Sita Vanka (Eds.),"Rekha Pande is the Head of the Centre for Women’s Studies and a Professor in the Department of History at the University of Hyderabad, Hyderabad. She was the Director and Chair of the 12th Women World Congress (2014) organized in Hyderabad. She is the founding member of two Centres for Women’s Studies, one at Maulana Azad National Urdu University and the other at University of Hyderabad. She has to her credit sixteen books and more than 150 articles published in national and international journals and books. She has been the Editor of International Feminist Journal of Politics (IFJP), Routledge, Taylor and Francis Group, UK and Foreign Policy Analysis, Blackwell, USA. She has received the Visiting Fellowship at the Institute of Berkbeck, University of London; International Visiting Fellowship in the School of Policy Studies, University of Bristol, UK; Academic Fellow, University of Buffalo, USA; International Visiting Scholar, Maison De Research, Paris; and Visiting Professorship at the University of Artois, Arras, France. She has widely travelled in India and abroad to deliver lectures and keynote addresses.Sita Vanka is currently a Senior Professor at the School of Management Studies, University of Hyderabad, Hyderabad. She is also a Joint Professor of Women’s Studies at the same university. She has over three decades of experience in the areas of Management, Educational Management, Human Resource Management, Entrepreneurship and Women’s Studies. She is a teacher, trainer, consultant and a researcher in Management. She is on the Board of Directors of two companies. She has published six books and more than sixty papers in reputed journals. Travelled widely, she has visited countries like USA, Canada, France, UAE, China and Germany on academic assignments.",492
Jane Freedman,"Jane Freedman is a lecturer in French and European politics at the University of Southampton. Her research focuses on gender and politics in Europe. Her previous publications include Femmes Politiques: Mythes et Symboles (1997) and Women, Immigration and Identtities in France (2000).",493
Aastha Kant,"A sociologist by training, Aastha Kant, is currently working as a Project Manager at the Harvard T.H. Chan School of Public Health, India Research Center, Mumbai. Prior to this, she was an Assistant Professor at the Tata Institute of Social Sciences (TISS), Mumbai. She has also worked at Population Council, New Delhi, as a Program Officer. Aastha holds a Ph.D in Social Sciences from TISS, Mumbai. She has pursued her Master’s from University of Pune and Bachelor’s from Lady Shri Ram College for Women, University of Delhi. To her credit, she has publications in national and international journals.",494
Helen Tierney (ed.),HELEN TIERNEY was Professor of History at the University of Wisconsin.,495
Sonya O. Rose,Sonya O. Rose is Professor Emeritus of History at the University of Michigan.,496
Kriemild Saunders (ed),"Kriemild Saunders teaches sociology at St. John’s University-Staten Island. Her wide-ranging interests include sexuality, queer practices, gender, development, race and class relations.",497
"Kum-Kum Bhavnani, John Foran Priya A. Kurian and Debashish Munshi (eds)","Kum-Kum Bhavnani is professor of sociology, global studies and feminist studies at the University of California, Santa Barbara.John Foran is professor of sociology and environmental studies at the University of California, Santa Barbara.Priya A. Kurian is professor of political science and public policy at the University of Waikato, New Zealand.Debashish Munshi is professor of management communication at the University of Waikato, New Zealand.",498
Harriet Bradley,Harriet Bradley is Emeritus Professor of Sociology at the University of Bristol.,499
Sita Vanka (Ed.),"Sita Vanka is currently a Senior Professor at the School of Management Studies, University of Hyderabad, Hyderabad, India. She is also a Joint Professor of Women’s Studies at the same university. She has over three decades of experience in the areas of management studies, educational management, human resource management, entrepreneurship and women studies. She is a teacher, trainer, consultant and a researcher in management. She is also invited as a chairperson and member of several committees and contributes to the activities of several professional associations. She has presented more than sixty papers in her areas of interest and has also published them in reputed journals. Travelled widely, she has visited countries like USA, Canada, France, UAE, China and Germany, on academic assignments. She has several awards to her credit.",500
Bindeshwar Pathak and Satyendra Tripathi,"Bindeshwar Pathak is the Founder of Sulabh Sanitation and Social Reform Movement. A leading social reformer and humanist of contemporary India, he is renowned the world over for his liberating work for scavenging untouchables, widows and other weaker sections of society. His invention of Sulabh toilet technology has been internationally recognized as one of the best global practices for safe disposal of human waste. He has written extensively on social issues, and has developed the concept of Action Sociology. Dr Pathak has to his credit several national and international awards Padma Bhushan (1991); the Saint Francis Prize for Environment (1992); the Scroll of Honour by UN-Habitat at Rio-de-Janeiro (Brazil) (2003); the Global 500 Roll of Honour Award by UNEP at Beirut (Lebanon) (2003); Stockholm Water Prize (2009); the LEGENDE DE LA PLANETE Congrès Fondateur Jeux Ecologiques at UNESCO, Paris (2013), WHO Public Health Champion Award, New Delhi (2016). He is ranked by The Economist (November 2015) amongst the World’s Top 50 diversity figures in public life along with US President Barack Obama, Angelina Jolie and Bill Gates. Recently, the New York Global Leaders Dialogue conferred the ‘2016 Humanitarian Award’ upon Dr Pathak on April 12, 2016. Its jury further said: ‘Dr Pathak is a great humanitarian who, for decades, has enhanced the quality of life for millions of fellow human-beings. He is the perfect example of a social leader, who is needed to be followed by other nations’. Mr Bill de Blasio, Mayor of the City of New York, declared April 14, 2016 as ‘Dr Bindeshwar Pathak Day’.Satyendra Tripathi is trained as a social scientist in India, The Netherlands, United Kingdom and the USA. Formerly Professor on SBI Chair and Director of the Centre of Integrated Rural Development Programme as well as Head of the Department of Sociology, BHU, Varanasi, he has worked in United Nations as UN Fellow in Asia-Pacific countries. While working with Sulabh International, he organized training programmes in Africa for the senior officials on Water and Sanitation in collaboration with Human Habitat Centre, Nairobi. His specialization is social change and development in developing countries.",501
Neerja Ahlawat (Ed.),"Neerja Ahlawat teaches Sociology at Maharshi Dayanand University, Rohtak. She is Hon. Deputy Director, Women’s Studies Centre, Maharshi Dayanand University. Currently, she is coordinating UN Women Project titled ‘Gender Biased Sex Selection: A Study of Haryana’. She has published extensively in national and international journals on Gender Studies, Violence against Women, Male Marriage Squeeze and Across-Region Marriages, Skewed Child Sex Ratio and Political Economy of Khaps in Haryana. Her earlier published works are Women Organizations and Social Networks and Crises of Social Transformation in India (co-editor).",502
Jasmeet Sandhu (Ed.),"Jasmeet Sandhu is Professor of Sociology, Guru Nanak Dev University, Amritsar. She has a rich teaching and research experience of over 35 years. She served as Head, Department of Sociology, G.N.D. University, Amritsar, 1995–98 and 2013–15; and Dean, Faculty of Social Sciences, 2013–15. She has published five books; Sociology of Fertility (1996), Sustainable Human Settlements (2001), Globalizing Cities (2007), Urban Poverty in Developing Countries (2009) and Urban Development and Governance (2013) and many research articles. She was also the editor of Guru Nanak Journal of Sociology. She has participated in numerous international/national conferences, seminars and workshops. Her areas of interest are social demography, urban studies, family studies and family demography.",503
Rama Achyut Pande,"Rama Achyut Pande is Assistant Professor of Social Work in Manavlok’s College of Social Sciences, Ambajogai District, Beed, Maharashtra. She has worked as member of Child Welfare Committee, Beed. Pursuing her interest of counselling, she is involved in the training of the adolescent girls. Her research articles are published in renowned journals and she has also presented research papers in state, national and international level seminars. ",504
Divya Upadhyaya Joshi and Chompoonuh K. Permpoonwiwat (Eds),"Divya Upadhyaya Joshi is Associate Professor, University Grants Commission–Human Resource Development Centre, Kumaun University. As a political scientist, she specializes in gender studies. Her research work has focused on gender and green governance issues in the Central Himalaya, and also on the complexities of gender and democratization in marginalized mountain communities. Recipient of national awards for some of her research work, she was also a member of national-level expert committee on gender violence set up by the National Commission for Women, Government of India.Chompoonuh K. Permpoonwiwat is Associate Professor in Economics, School of Economics and Public Policy, Srinakharinwirot University, Bangkok, Thailand. She got her Ph.D. degree from the University of Utah (Economics) in 2000 and her M.S. from the University of Utah (Economics), in 1996. Her special fields of interest in research are public economics, econometrics and the economics of gender. She has been Dean, Research at the School of Economics and Public Policy, Srinakharinwirot University, Thailand. She has to her credit an impressive body of published research work and has presented her work at numerous international conferences and seminars.",505
Vidyut Bhagwat,"Vidyut Bhagwat is Director, Krantijyoti Savitribai Phule Womens Studies Centre, University of Pune. She has worked earlier with the Indian Institute of Education and the Indian School of Political Economy, Pune. She has published widely in English and Marathi on the social history of Maharashtra from gender, caste and class perspectives. ",506
Rekha Pande (Ed.) ,"Rekha Pande is Professor and Head of the History Department and a joint faculty in the Centre for Women’s Studies at University of Hyderabad, Hyderabad. Her work is in the interdisciplinary area of history and women’s studies. She has published in the area of women’s history, cultural history, women and the Bhakti movement, socialization and family, girl child, child labour, women’s work, health, violence against women, women’s movement and impact of globalization on women. Besides her contributions in number of journals, both in India and abroad, she has to her credit eight books. She has been the editor of International Feminist Journal of Politics and Foreign Policy Analysis. She received the International Visiting Fellowship in the School of Policy Studies, University of Bristol, UK; Academic Fellow, University of Buffalo, USA; and International Visiting Scholar, at Maison de Research, Paris. She is the member of board of studies of many universities in India.",507
Jasbir Jain and Sudha Rai (Eds) ,"Jasbir Jain, formerly of the University of Rajasthan, Jaipur has written on a wide range of areas. She has been working on films for more than two decades. Amongst her latest works are Indigenous Roots of Feminism: Culture, Subjectivity and Agency, recently also translated into Hindi, Theorizing Resistance and The Diaspora Writes Home: Subcontinental Narratives. Currently she is working on Post Enlightenment and Modernism.Sudha Rai, formerly Head, Department of English, and Dean, Faculty of Arts, University of Rajasthan, Jaipur has worked in the area of diasporic writing, Australian indigenous writing; and cultural constructions of disability. She is a recipient of the Senior Fellowship (2008-09) awarded by the Australia-India Council, and was Visiting Research Professor (2010) at Paul Valery University, Montpellier III (France). Rai is currently on a Senior Research Fellowship awarded by the Indian Council of Social Science Research, New Delhi. She is the author of V.S. Naipaul: A Study in Expatriate Sensibility (1982) and Homeless by Choice: Naipaul, Jhabvala, Rushdie and India (1992).",508
Imelda Whelehan ,IMELDA WHELEHAN is Senior Lecturer in English and Women’s Studies at De Montfort University in Leicester.,509
Niamh Reilly ,"Niamh Reilly is Senior Lecturer in Women’s Studies at the School of Political Science and Sociology, National University of Ireland, Galway.",510
Pankaj Kumar and Sadhna Gupta (Eds),"Pankaj Kumar is Head, Department of Sociology, Asansol Girl’s College, University of Burdwan, West Bengal. He did his M.A. from Jawaharlal Nehru University, M.Phil. from Delhi University and Ph.D. from University of Burdwan. He has published several research papers in edited books and in referred journals. He has also presented research papers in various state and national seminars and workshops. His areas of interest are development-induced displacement, tribal, women and child issues.Sadhna Gupta is Assistant Professor, Department of Law, Hooghly Mohsin College, University of Burdwan, West Bengal. Child and women related issues are her special areas of interest. Her research papers are published in different journals of national and international repute touching upon various aspects of human rights, women and child issues.",511
Maggie Humm ,"Maggie Humm is an Emeritus Professor of Cultural Studies at the University of East London. She is the editor of Feminisms: A Reader, and author of Feminist Criticism, A Reader’s Guide to Contemporary Feminist Literary Criticism and the Dictionary of Feminist Theory.",512
Roli Misra (Ed.) ,"Roli Misra is Assistant Professor in the Department of Economics in D.B.S. (PG) College, Kanpur. She has published articles in scholarly journals and has presented over 30 papers in national and international seminars/conferences. She has also completed research projects for different agencies like University Grants Commission, Plan India and Oxfam India. Her interest areas are gender issues and development issues.",513
"S.K. Singh, H. Lhungdim, K.C. Das ","S.K. Singh is Professor in the Department of Mathematical Demography and Statistics, International Institute for Population Sciences (IIPS), Mumbai. During his academic career spanning over 20 years, Professor Singh has published more than one hundred research papers in national and international journals of repute. Besides, he has also completed more than two dozen research projects with a number of international agencies/organizations producing extremely useful data for evidence-based decision-making in the country.Hemkhothang Lhungdim obtained M.A, M. Phil, and PhD from Jawaharlal Nehru University, New Delhi. Currently he is Professor and Head, Department of Public Health and Mortality Studies, International Institute for Population Sciences, Mumbai. Dr. Lhungdim has vast teaching, research/survey experiences and guides doctoral students. He received training in population/health at Cairo Demographic Centre, Egypt; East-West Center, Honolulu, USA; London School of Hygiene and Tropical Medicine, London; and The Bill and Melinda Gates Institute for Population and Reproductive Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, USA.K.C. Das obtained his Masters, M. Phil. and Ph.D. in Population Study  from the IIPS, Mumbai, he is currently working as Professor in the Department of Migration and Urban Studies. Professor Das has published more than sixty research papers and monographs. He has visited and presented research papers in various countries like USA, Canada, Malta, China, Thailand, Morocco and South Korea. He was also a visiting research faculty at the Office of the Population Research, Princeton University, USA.",514
Chandrakala Padia,"Chandrakala Padia is Professor of Political Science, Banaras Hindu University, Varanasi. Earlier, she served as the Director, Centre for Women’s Studies and Development, and also as Chairperson, UGC Standing Committee on Women’s Studies. As an acclaimed feminist scholar, she won the prestigious D.P. Mukherjee award for her contribution to feminist theory. As a Fulbright scholar at University of Texas, Austin, USA and as an ICSSR fellow and McMaster fellow, she extensively worked on the unpublished papers of Bertrand Russell. As a recipient of Shastri Indo-Canadian fellowship, she devoted herself to the study of aborigines in Canada in the wider context of human rights. In her quest for understanding the problems of women around the globe, she undertook a major project on Postmodernism and French Feminist Thinkers with the help of Indo-French Fellowship. Her cross-cultural explorations in the field of women’s studies made her edit an important series with the title Women in India’s Intellectual Tradition along with two other edited volumes Feminism Tradition and Modernity and Women in Dharmashastras: A Phenomenological and Critical Analysis. She has extensively lectured throughout Europe and North America. She is the author of much acclaimed book Liberty and Social Transformation: A Study in Bertrand Russell’s Political Thought along with several articles published in national and international journals.",515
Jyoti Anand,"Jyoti Anand, Ph.D. in psychology, is a practising counsellor based in Allahabad. She has publications in the areas of suffering, psychological healing and belief in the theory of Karma. She is interested in developing indigenous approaches to counselling.",516
G. Madhavi,"G. Madhavi is currently associated with Urban Poverty Alleviation Cell, Regional Centre for Urban and Environmental Studies, Osmania University, Hyderabad. Her areas of interest include Social Welfare and Development, Women Empowerment and Gender Studies, Rural Development, Sociology of Education and Sociology of Religion. She has also participated and presented papers in various national and regional seminars and conferences.",517
Sumita Sarkar and Manjari Srivastava (Eds)," Sumita Sarkar has had her M.Phil and Ph.D in social sciences from Tata Institute of Social Sciences (TISS), Mumbai. In 2008 – 09 she was awarded Sir Ratan Tata Fellowship for pursuing her postdoctoral research at London School of Economics, Asia Research Centre, UK. At present, she is Dean at Institute of Business Studies and Research (IBSAR), Navi Mumbai. She has published in the areas of development and crime, culture and change, gender issues and labour relations and also on human resources management.  Manjari Srivastava is a doctorate in Organizational Behaviour from Indian Institute of Technology (IIT), Kanpur. She is a psychologist by profession and has keen interest in the area of behavioural sciences. At present, she is Associate Professor at School of Business Management, NMIMS University, Mumbai.",518
The World Bank,,519
Sangeeta Bharadwaj-Badal,"Sangeeta Bharadwaj-Badal began her teaching career at Miami University, Ohio after completing her doctorate at University of Nebraska Lincoln, USA. At Miami University she taught courses in gender and development and regional geography. Her interest in human development took her to her current position as a Senior Consultant at the Gallup. In this role she consults with companies on how to improve their human capital. She has also been researching and writing on issues related to gender and workplace.",520
Mrinal Joshi,"Mrinal Joshi has taught at masters level as visiting faculty at S.N.D.T Women’s University, Mumbai. Her core area of interest is women’s history. She has presented papers at various seminars. She has contributed articles in books and some of her papers have also been published in the journals of the Epigraphical Society of India.",521
Swati Shirwadkar (Ed.),"Swati Shirwadkar is Professor and Head in the Department of Sociology, University of Pune. Her areas of interest are violence against women, sexuality and violence issues, apart from education and social change. She has worked as a Visiting Professor and Diversity Fellow in the S.F. Austin State University, USA. She was also awarded the Shastri Indo-Canadian Fellowship to visit Canada. She has published books and articles in national and international journals. ",522
Chandrakala Padia (Ed.),"Chandrakala Padia is Professor and Head of the Department of Political Science, Banaras Hindu University (BHU), Varanasi. Previously she was the Director of the Centre for Women Studies and Development, BHU and also Chairperson, UGC Standing Committee on Women Studies. She has also been Visiting Professor at the Universities of Toronto, McMaster, Chicago, Stockholm, Poland and others. She is the author of the much acclaimed book “Liberty and Social Transformation: A Study in Bertrand Russell’s Political Thought” and editor of “Feminism, Tradition and Modernity.” She has extensively published in national and international journals.",523
"Michael A. Koenig, Shireen Jejeebhoy, John C. Cleland and Bela Ganatra"," Michael A. Koenig is Professor in the Department of Population, Family, and Reproductive Health at the Johns Hopkins Bloomberg School of Public Health in Baltimore, Maryland, USA. His research over the past two decades has focused primarily upon family planning and reproductive health issues in India and Bangladesh.  Shireen Jejeebhoy is a Senior Programme Associate at the Population Council in New Delhi. Her research has focused on gender issues and adolescent sexual and reproductive health and development. Dr. Jejeebhoy previously worked as Scientist in Development and Research Training in Human Reproduction in the Department of Reproductive Health and Research at the World Health Organisation in Geneva, Switzerland.  John C. Cleland has been Professor of Medical Demography at the London School of Hygiene  Tropical Medicine since 1993. His research interests include fertility and family planning, child mortality and women’s health, with a focus on South Asia and Africa.  Bela Ganatra is Senior Research and Policy Advisor, Asia region for Ipas. Dr. Ganatra’s research interests include medical abortion, reproductive health of adolescents, quality of abortion care and qualitative research methodologies.",524
Sambodh Goswami,"Sambodh Goswami is Head, Department of History, Sant Jayacharya (P.G.) Mahila Mahavidyalaya, Jaipur. He has presented several research papers in various state, national and international workshops and seminars.",525
Pamela Singla,"Pamela Singla has been teaching at the Department of Social Work, University of Delhi since 1991. Her areas of interest include Womens Welfare and Development; Social Development and Social Policy; Social Statistics; and Labour Welfare and Unorganized Sector. She has organised and participated in several national and international seminars and has written on various aspects of Social Work Practice. ",526
Vinita Lavania,"Vinita Lavania is Head, Department of Sociology, Bhupal Nobles’ P.G. College, Udaipur. She has presented papers in state and national conferences and has also published them in renowned journals. She is actively engaged in the counselling of childless couples.",527
Meena Kelkar and Deepti Gangavane (eds),"Meena Kelkar taught at the Department of Philosophy, University of Pune for a number of years. She has to her credit two books on feminism, Bharatiya Stree: Samkalpana aani Pratima (Marathi) and Subordination of Woman: A New Perspective (English).Deepti Gangavane teaches at the Department of Philosophy, University of Pune. She has to her credit a book titled Dialogues of Reasonableness.",528
Krishna Gupta ,"Krishna Gupta is Senior Reader in Political Science at the University of Allahabad, Allahabad. Her areas of interest include Comparative Politics, Indian Political System and Women Studies, on which she has written and published extensively. ",529
Reena Singh ,"Reena Singh, currently working in the Population Research Centre, Department of Sociology, Panjab University, Chandigarh, has extensive research experience in the areas of health and family welfare. She has actively participated in various seminars, conferences and workshops both at national and international levels, and has several published papers to her credit. ",530
Neela Dabir,"Neela Dabir is Reader in Extension Education, S.N.D.T. Women’s University, Pune. She has both professional training as well as experience of working in the field of social work. Women and child development is her main area of interest.",531
Hem Bala Bhargava,"Hem Bala Bhargava obtained her doctoral degree in history from University of Rajasthan, Jaipur. She has travelled abroad extensively and therefore her knowledge is adequately reflected in the presentation of materials that is assiduously gathered by her.",532
"U.R. Nahar, Usha Talwar, Ambika Chandani and Kirti Rajimwale","The authors of the book are all Associate Professor of Sociology at the Jai Narain Vyas University, Jodhpur; and have also written and Published book(s) and research articles.",533
Paul J. Curran,"Paul Curran is President of City, University of London. He joined City in 2010, after having served as Vice-Chancellor at Bournemouth University and Deputy Vice-Chancellor at the University of Southampton, where he is currently a Visiting Professor. He is a former NASA research scientist and advisor to European Space Agency (ESA). Professor Sir Paul has received achievement awards from the Royal Geographical Society, Remote Sensing Society, NASA, ESA, and the International Society for Photogrammetry and Remote Sensing; along with Honorary Doctorates from Grand Ecole ESCP, Paris and Peter the Great University, St. Petersburg, Russia. Her Majesty, The Queen approved the award of the Patron’s Medal of the Royal Geographical Society, for his ‘international development of geographical science’ and he is a Freeman of the City of London.Sir Paul was knighted in 2016 New Year Honours for ‘services to higher education’.",534
Francis Harvey,"Francis Harvey is Associate Professor of Geography at the University of Minnesota. He has also worked at the University of Kentucky and at a variety of academic and professional positions in Germany, Switzerland, and the United Kingdom, and has taught GIS courses in other academic and professional programs around the world. His research is wide ranging, with a current focus on governance of land and spatial data infrastructures.",535
"R. Ram Mohan Rao, Afzal Sharieff","Rairao Ram Mohan Rao retired as Professor, Department of Geography, Osmania University, Hyderabad. He has published several books and research articles. In the past, he has undertaken several research projects both in India and abroad and has also been a Visiting Fellow to the University of Texas, USA.Afzal Sharieff was a Professor in the Department of Geography, Osmania University, Hyderabad. He taught and guided several research students in environmental studies and GIS. He conducted a number of research studies and projects on environment and published many research articles and books.",536
Anand Malik ,"Anand Malik is Associate Professor of Geography at SSN College (University of Delhi), New Delhi since 1998. He did his Masters in Geoinformatics in Earth Sciences, ITC, Enschede University of Twente, The Netherlands. Besides this, he has also done couple of certificate courses – one in Geosciences from Indian Institute of Remote Sensing IIRS, Dehradun and another in Risk Management from University of Geneva CERG 2013, Geneva, Switzerland. He has also presented several papers in national and international seminars/ conferences. He is specialized in process-based dynamic modeling, flood modeling, risk and vulnerability assessment, quantitative geomorphology, visualization techniques, geographical information system GIS and remote sensing.",537
P.R. Vyas (Ed.),"P.R. Vyas is Professor of Geography, Mohanlal Sukhadia University, Udaipur. He has been the Dean of Faculty of Social Sciences and Director of International Exchange Programme in J.R.N. Rajasthan Vidyapeeth University, Udaipur. He was also a Visiting Faculty at the Slippery Rock University of Pennsylvania, USA during 2004–05.Having a rich teaching experience of over three decades, he has written more than dozen books and has contributed several research papers in journals of national and international repute. His special interests are urban studies, regional development and planning through application of Remote Sensing and GIS techniques. ",538
Arthur L. Bloom,"Arthur L. Bloom, Professor Emeritus, Earth and Atmospheric Sciences, Cornell University, Ithaca, New York.",539
Timothy L. Nyerges and Piotr Jankowski, Timothy L. Nyerges is Professor of Geography and Affiliate Professor of the Water Center at the University of Washington.  Piotr Jankowski is Professor of Geography and Co-Director of the Center for Earth Systems Analysis Research at San Diego State University.,540
Nancy J. Obermeyer and Jeffrey K. Pinto," Nancy J. Obermeyer is Associate Professor of Geography at Indiana State University.  Jeffrey K. Pinto is Professor of Management at Penn State Erie, The Behrend College.",541
John Pickles (Ed.),"John Pickles, Department of Geography and Committee on Social Theory, University of Kentucky, Lexington, Kentucky.",542
Roger M. McCoy,Roger M. McCoy is Professor Emeritus of Geography at the University of Utah.,543
आर.एन. मिश्रा और पवन कुमार शर्मा (R.N. Mishra and P.K. Sharma),"आर.एन. मिश्रा, राजस्थान विश्वविद्यालय, जयपुर के भूगोल विभाग के प्रोफेसर एवं विभागाध्यक्ष पद से सन 2013 में सेवानिवृत्त हुए हैं। दीर्घ शैक्षणिक एवं शोध अनुभव के साथ-साथ इनके लगभग 40 लेख शोध-पत्रों में प्रकाशित हैं। राजस्थान भौगोलिक एसोसिएशन के अध्यक्ष एवं इससे प्रकाशित एनाल्स के सम्पादक भी रहे हैं तथा वर्तमान में अनेक राष्ट्रीय एवं अंतरराष्ट्रीय स्तर के शैक्षणिक संगठनों के सदस्य के रूप में भी कार्यरत हैं। आपके चार संदर्भ ग्रंथ एवं एक पाठ्य-पुस्तक पूर्व में प्रकाशित हैं।पवन कुमार शर्मा, भूगोल विभाग, डॉ. हरी सिंह गौर केन्द्रीय विश्वविद्यालय, सागर में असिस्टेंट प्रोफेसर के पद पर कार्यरत हैं। आपने एम.फिल, एवं पी.एच.डी. के साथ-साथ जनसंख्या पारिस्थितिकी विषय में डिप्लोमा भी किया है। इन्होंने यू.जी.सी. नेट और जे.आर.एफ. के अतिरिक्त यू.जी.सी. एवं आई.सी.एस.एस.आर. के दो मेजर प्रोजेक्ट भी पूरे किये हैं। विभिन्न पत्रा-पत्रिकाओं में आपके अनेक शोध-पत्रा प्रकाशित हो चुके हैं।",544
J. Brian McLoughlin,"J. Brian McLoughlin was born in Bradford, England in 1932 and was educated in Newcastle-upon-Tyne, where he also studied Town and Regional Planning at the King’s College of the University of Durham, graduating in 1954. After a stint in the National Service, McLoughlin worked as a local government planning officer in Newcastle, and in 1962 was appointed to a lectureship in the Department of Town Planning at the University of Manchester and went on to attain several senior academic posts in UK and Europe and Hong Kong. In 1983 he arrived in Australia as scholar of international standing for his planning policy research and academic publication in the UK and Europe. He held the Chair of Town and Regional Planning at the University of Melbourne and made substantial and lasting contributions to the study of urban studies and urban planning in Australia.",545
R.N. Mishra and P.K. Sharma,"आर.एन. मिश्रा,राजस्थान विश्वविद्यालय, जयपुर के भूगोल विभाग के प्रोफेसरएवं विभागाध्यक्ष पद से सन 2013 में सेवानिवृत्त हुए हैं। दीर्घ शैक्षणिक एवं शोध अनुभव के साथ-साथ इनके लगभग 40 लेख शोध-पत्रों में प्रकाशित हैं। राजस्थान भौगोलिक एसोसिएशन के अध्यक्ष एवं इससे प्रकाशित एनाल्स के सम्पादक भी रहे हैं तथा वर्तमान में अनेक राष्ट्रीय एवं अंतरराष्ट्रीय स्तर के शैक्षणिक संगठनों के सदस्य के रूप में भी कार्यरत हैं। आपके चार संदर्भ ग्रंथ एवं एक पाठ्य-पुस्तक पूर्व में प्रकाशित हैं।पवन कुमार शर्मा,भूगोल विभाग, डॉ. हरी सिंह गौर केन्द्रीय विश्वविद्यालय, सागर में असिस्टेंटप्रोफेसरके पद पर कार्यरत हैं। आपने एम.फिल, एवं पी.एच.डी. के साथ-साथ जनसंख्यापारिस्थितिकी विषय में डिप्लोमा भी किया है। इन्होंने यू.जी.सी. नेट और जे.आर.एफ. के अतिरिक्त यू.जी.सी. एवं आई.सी.एस.एस.आर. के दो मेजर प्रोजेक्ट भी पूरे किये हैं। विभिन्न पत्र-पत्रिकाओं में आपके अनेक शोध-पत्रा प्रकाशित हो चुके हैं।",546
John Rennie Short,"John Rennie Short is Professor of Geography at Syracuse University, New York.",547
Peter J. Taylor,"Peter J. Taylor is Emeritus Professor of Geography at Northumbria University, Newcastle upon Tyne, UK.",548
Richard Peet and Nigel Thrift (eds),"Richard Peet is Professor of Geography at Clark University, Worcester, Massachusetts.Nigel Thrift is Reader in Geography at the University of Bristol. ",549
Shruti Mathur and Rajendra Kumar,"Shruti Mathur, recipient of Young Scientists’ Award from the Indian Science Congress, an avowed academician and researcher, is currently Associate Professor of Biotechnology, Amity University, Jaipur.  Conscious, as she is, about the perils of the threatening water shortages in the country, her commitment to arm the society with scientific awareness about water is as strong as her research interests in Biotechnology. She has guided research students and has also published her research in reputed international journals.Rajendra Kumar, former Director, Regional Research Laboratory (CSIR), Bhopal has been connected with various environmental issues pertaining to global warming. He participated in the UN workshops on climate control in Moscow and Saarbrucken (Germany). He has authored two books in the field of metallurgical engineering.",550
